dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
junyi,0,42,gkt,valid+test,0.7040338107262537,0.8294557202224981,0.4247472362467472,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,gikt,valid+test,0.7125714891940103,0.8301248223848471,0.419502946801738,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,skt,valid+test,0.7043687778801299,0.8295898766923684,0.4237389953784237,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,dygkt,valid+test,0.7065952140815409,0.8293068298050699,0.4276143578515172,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,dgekt,valid+test,0.7104534419540379,0.8301374884099408,0.4205562990938599,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,gkt,valid+test,0.7042947834121551,0.8294598560674267,0.4247928958876231,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,gikt,valid+test,0.7124601085383324,0.8301248223848471,0.4195276373666001,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,skt,valid+test,0.7044604985660397,0.8297178293948457,0.4237790245450546,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,dygkt,valid+test,0.7062875804241506,0.8293068298050699,0.4276706836730847,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,dgekt,valid+test,0.7101037497133731,0.8301374884099408,0.4205846865770641,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,bkt,valid+test,0.7193974971387429,0.830336668454747,0.4141281272909692,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dkt,valid+test,0.7193974971387429,0.8287791844435735,0.4228103477818029,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,simplekt,valid+test,0.7193974971387429,0.830336668454747,0.4141281272909692,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,akt,valid+test,0.71764711136209,0.8293547374431048,0.4249956379522714,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gkt,valid+test,0.7051897773041992,0.8288716360806899,0.4249601179796823,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gikt,valid+test,0.7137574475585169,0.8296973072022127,0.4197716359391591,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,skt,valid+test,0.7054773821300431,0.8291353086612351,0.4239215168990061,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dygkt,valid+test,0.7076096199334206,0.8287093661947967,0.4279605891832506,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dgekt,valid+test,0.7116778845310896,0.8296364400109715,0.4207848739504212,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
