model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
bkt,pending_data,Baselines reported for diagnostic purposes only; we do not claim SOTA.,,,,,,,,,,,,,,train_only
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.6326887602694717,0.61065,0.6549765426152475,180000.0,3.0,0.6309108676838312,0.634988509413908,0.6081333333333333,0.6132333333333333,0.6537861869764064,0.65610444378906,full_log
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.6326658893294761,0.61065,0.6549759575523822,180000.0,3.0,0.6309108676838312,0.6350208339119925,0.6081333333333333,0.6132333333333333,0.6537726366611364,0.656100528230812,train_only
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.5240881314015584,0.61065,0.6683422505536732,180000.0,3.0,0.5201700453248801,0.5267667925334213,0.6081333333333333,0.6132333333333333,0.6672788924235808,0.6694096142085275,full_log
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.5240881314015584,0.61065,0.6683365093791136,180000.0,3.0,0.5201700453248801,0.5267667925334213,0.6081333333333333,0.6132333333333333,0.6672477447936048,0.6694049108164842,train_only
simplekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.6304381563846316,0.61065,0.6510558158473163,180000.0,3.0,0.6278727720912072,0.6338388816124674,0.6081333333333333,0.6132333333333333,0.6496450853540254,0.6523511066346228,train_only
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.6282505155292482,0.61065,0.6635113613929149,180000.0,3.0,0.6260362069378392,0.6302550785639665,0.6081333333333333,0.6132333333333333,0.6624331922565757,0.6645776445982395,full_log
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.628652490869866,0.61065,0.6635064490998338,180000.0,3.0,0.6258739513721189,0.6313470844340391,0.6081333333333333,0.6132333333333333,0.6624027554207988,0.6645717738482788,train_only
akt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7172609326700785,0.8287979030269902,0.4257030306032496,23438956.0,3.0,0.716642538031283,0.71764711136209,0.8271483414720983,0.8298906301657673,0.4244296696187377,0.4276837842387397,train_only
bkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7189115099995581,0.8297767599996111,0.4150295761376668,23438956.0,3.0,0.71838976194589,0.7193974971387429,0.8282614661805104,0.8307321453635756,0.4137038456858765,0.4172567554361546,train_only
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7107432406638869,0.8290643147167467,0.4218960694922675,23438956.0,3.0,0.710103749713373,0.7114928149764049,0.8274305242318736,0.830137488409941,0.4205846865770641,0.4241309266307402,full_log
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7107866412049054,0.8290681508842619,0.4218606558048627,23438956.0,3.0,0.7102285971295887,0.7116778845310896,0.8274305242318736,0.830137488409941,0.4205562990938599,0.4242407943703072,train_only
dkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7189115099995581,0.8282571037310594,0.42370712845922,23438956.0,3.0,0.71838976194589,0.7193974971387429,0.8266675903584343,0.8293245363911703,0.4222271536836448,0.4260838839122123,train_only
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7067578121798009,0.8281956164916656,0.4290633309411866,23438956.0,3.0,0.7062875804241506,0.7075249250185881,0.8265706534751301,0.8293068298050699,0.4276706836730846,0.4313763845861627,full_log
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7067186343503856,0.8281956164916656,0.4290264822536603,23438956.0,3.0,0.7059510690361953,0.7076096199334206,0.8265706534751301,0.8293068298050699,0.4276143578515172,0.4315044997262132,train_only
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7130411215328252,0.8291028856137284,0.4208458887151249,23438956.0,3.0,0.7124601085383325,0.7137971111964081,0.8274638938657858,0.8301248223848471,0.4195276373666001,0.4230835311329327,full_log
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7129757536943603,0.8290953411509485,0.4208155481643622,23438956.0,3.0,0.7125714891940103,0.713757447558517,0.8274638938657858,0.8301248223848471,0.4195029468017381,0.4231720617521895,train_only
