dataset,fold,n_similarity_edges,n_kcs,n_prerequisite_edges,split_seed
assist2012,0,0,265,413.0,
xes3g5m,0,354,863,1162.0,
junyi,0,0,720,2152.0,42.0
junyi,1,0,717,2130.0,43.0
junyi,2,0,719,2156.0,44.0
