dataset,fold,augmentation,p,seed,ddr
junyi,2,edge_drop,0.05,42,0.048701298701298704
junyi,2,edge_drop,0.05,17,0.05009276437847866
junyi,2,edge_drop,0.05,1234,0.05194805194805195
junyi,2,edge_drop,0.1,42,0.0950834879406308
junyi,2,edge_drop,0.1,17,0.09183673469387756
junyi,2,edge_drop,0.1,1234,0.09554730983302412
junyi,2,edge_drop,0.2,42,0.2054730983302412
junyi,2,edge_drop,0.2,17,0.20037105751391465
junyi,2,edge_drop,0.2,1234,0.19341372912801486
junyi,2,edge_drop,0.3,42,0.30194805194805197
junyi,2,edge_drop,0.3,17,0.3079777365491651
junyi,2,edge_drop,0.3,1234,0.29035250463821893
junyi,2,attr_mask,0.05,42,0.0
junyi,2,attr_mask,0.05,17,0.0
junyi,2,attr_mask,0.05,1234,0.0
junyi,2,attr_mask,0.1,42,0.0
junyi,2,attr_mask,0.1,17,0.0
junyi,2,attr_mask,0.1,1234,0.0
junyi,2,attr_mask,0.2,42,0.0
junyi,2,attr_mask,0.2,17,0.0
junyi,2,attr_mask,0.2,1234,0.0
junyi,2,attr_mask,0.3,42,0.0
junyi,2,attr_mask,0.3,17,0.0
junyi,2,attr_mask,0.3,1234,0.0
junyi,2,subgraph,0.05,42,0.013450834879406308
junyi,2,subgraph,0.05,17,0.012987012987012988
junyi,2,subgraph,0.05,1234,0.013450834879406308
junyi,2,subgraph,0.1,42,0.05890538033395176
junyi,2,subgraph,0.1,17,0.055658627087198514
junyi,2,subgraph,0.1,1234,0.055658627087198514
junyi,2,subgraph,0.2,42,0.1461038961038961
junyi,2,subgraph,0.2,17,0.13079777365491652
junyi,2,subgraph,0.2,1234,0.17996289424860853
junyi,2,subgraph,0.3,42,0.24304267161410018
junyi,2,subgraph,0.3,17,0.24860853432282004
junyi,2,subgraph,0.3,1234,0.29359925788497215
