dataset,augmentation,p,ddr_mean,ddr_std,ddr_ci_low,ddr_ci_high,n
assist2012,attr_mask,0.05,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.1,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.2,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.3,0.0,0.0,0.0,0.0,9
assist2012,edge_drop,0.05,0.0551532977380435,0.0112652838379574,0.0476552637569586,0.0625504439063761,9
assist2012,edge_drop,0.1,0.1001337410235715,0.0129237943923469,0.0925490469981995,0.1085352868059435,9
assist2012,edge_drop,0.2,0.2123119347695619,0.01062499585419,0.2052060698247139,0.2184671422621634,9
assist2012,edge_drop,0.3,0.3092327869870243,0.0091880709663567,0.3041926323441154,0.3154006377920573,9
assist2012,node_drop,0.05,0.0920918182570724,0.0293944880318646,0.0730473519536019,0.1099995343639411,9
assist2012,node_drop,0.1,0.1933307982036795,0.0265085995413469,0.1773235886053683,0.2088736005049564,9
assist2012,node_drop,0.2,0.3893402971792802,0.089990784506393,0.3378684992032449,0.4520310947879805,9
assist2012,node_drop,0.3,0.5301208325572733,0.0781850418871284,0.4821005456995923,0.5793259853376378,9
assist2012,subgraph,0.05,0.0115083245379855,0.0015720976500548,0.0104632302725523,0.0125534188034188,9
assist2012,subgraph,0.1,0.0283701703193228,0.0034826008999947,0.0260245286728337,0.0304681194511703,9
assist2012,subgraph,0.2,0.071475135034457,0.0066872824977762,0.0675094679331967,0.0755443414871381,9
assist2012,subgraph,0.3,0.188447440036423,0.023338950161271,0.1750866438763684,0.2042021875840731,9
junyi,attr_mask,0.05,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.1,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.2,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.3,0.0,0.0,0.0,0.0,9
junyi,edge_drop,0.05,0.0503264587534145,0.0014187022283086,0.0494782758798545,0.0512328780092612,9
junyi,edge_drop,0.1,0.0942842987858433,0.0016653553263204,0.0931951710558387,0.0952579580340149,9
junyi,edge_drop,0.2,0.2000110128613491,0.0053330152112848,0.1965963776210245,0.2030615628425116,9
junyi,edge_drop,0.3,0.3007694224087378,0.0077048346344896,0.295943986458631,0.3052831840187573,9
junyi,node_drop,0.05,0.1067463262258427,0.0188413705834238,0.0949205328623332,0.1178335886794397,9
junyi,node_drop,0.1,0.1959323271650768,0.026469361208363,0.18179404357836,0.2140288355170585,9
junyi,node_drop,0.2,0.3842744339640213,0.0135524138760221,0.3756428609380849,0.3926624787590022,9
junyi,node_drop,0.3,0.5227290480609652,0.0103779831547277,0.5165499680705274,0.5290143746852353,9
junyi,subgraph,0.05,0.0129944787787756,0.0003003310885709,0.0128223057695804,0.0131809546562001,9
junyi,subgraph,0.1,0.0625953778643148,0.0092527248190566,0.0572416958082952,0.0685498743132463,9
junyi,subgraph,0.2,0.1612845619684048,0.0173082476354301,0.1501994254472226,0.172526228643976,9
junyi,subgraph,0.3,0.2659283515437166,0.0214486702957364,0.2527828061037495,0.2803736782110883,9
xes3g5m,attr_mask,0.05,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.1,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.2,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.3,0.0,0.0,0.0,0.0,9
xes3g5m,edge_drop,0.05,0.04894217985535851,0.004719817026520689,0.0458587463116633,0.051709898246147135,9
xes3g5m,edge_drop,0.1,0.09473154723522827,0.004891352111530028,0.0918535445017518,0.09785044937992034,9
xes3g5m,edge_drop,0.2,0.2038996337985816,0.009081812688770926,0.1981193045939014,0.2096523431238011,9
xes3g5m,edge_drop,0.3,0.2986329898897052,0.0021609113516473143,0.2972878696103943,0.2999725585437527,9
xes3g5m,node_drop,0.05,0.1102857653469057,0.021674437294188133,0.0967757499719193,0.12406657421864854,9
xes3g5m,node_drop,0.1,0.19585193528357286,0.02718199871956164,0.18087736484190256,0.21359558086762814,9
xes3g5m,node_drop,0.2,0.3862748765914221,0.035266970209487256,0.3644526775011582,0.40905088908887227,9
xes3g5m,node_drop,0.3,0.5349399601018976,0.02689216570921278,0.5169767570836716,0.5506159083636513,9
xes3g5m,subgraph,0.05,0.022077491928845935,0.0017632921852548068,0.020960767224085464,0.02315695059350727,9
xes3g5m,subgraph,0.1,0.05763565266143843,0.004688258334021957,0.054909507466648064,0.06097628011842995,9
xes3g5m,subgraph,0.2,0.14519104104033012,0.011242169058877132,0.13806986486517908,0.15217237909047354,9
xes3g5m,subgraph,0.3,0.24042192958256628,0.009614273737183734,0.23475317962265774,0.2472250149813798,9
