stratum,n,auc,acc,nll,dataset,model,fold,split_seed
cold,2806,0.8013041821752,0.7533856022808268,0.4960946310320589,xes3g5m,gkt,2.0,44.0
hot,1897786,0.6054191124136586,0.7945880093962122,0.49672017867918056,xes3g5m,gkt,2.0,44.0
out_of_range,8,,1.0,0.1604668840485457,xes3g5m,gkt,2.0,44.0
very_cold,164,0.8304398148148148,0.7317073170731707,0.5629029184206142,xes3g5m,gkt,2.0,44.0
warm,19461,0.7442224721951051,0.7894250038538616,0.46491212016621963,xes3g5m,gkt,2.0,44.0
cold,2806,0.8119971734578575,0.7605131860299359,0.4742497100365934,xes3g5m,gikt,2.0,44.0
hot,1897786,0.709013490859065,0.7948456780690762,0.47317629947766937,xes3g5m,gikt,2.0,44.0
out_of_range,8,,1.0,0.13437453151510104,xes3g5m,gikt,2.0,44.0
very_cold,164,0.8323412698412699,0.7317073170731707,0.545083091157679,xes3g5m,gikt,2.0,44.0
warm,19461,0.7795070342512309,0.800421355531576,0.44436819034476055,xes3g5m,gikt,2.0,44.0
